,investment_sector
CNSL,US Small Cap Value
CPSS,US Small Cap Value
MCF,US Small Cap Value
CTRA,US Small Cap Value
CPS,US Small Cap Value
CMT,US Small Cap Value
CXW,US Small Cap Value
CORR,US Small Cap Value
CLDB,US Small Cap Value
CRVS,US Small Cap Value
COTY,US Small Cap Value
CVA,US Small Cap Value
COWN,US Small Cap Value
CVU,US Small Cap Value
CBRL,US Small Cap Value
CR,US Small Cap Value
CRD.A,US Small Cap Value
CEQP,US Small Cap Value
CRT,US Small Cap Value
CAPL,US Small Cap Value
CRWS,US Small Cap Value
CSPI,US Small Cap Value
CTIC,US Small Cap Value
CUB,US Small Cap Value
CULP,US Small Cap Value
CPIX,US Small Cap Value
CRIS,US Small Cap Value
CUBI,US Small Cap Value
CVV,US Small Cap Value
CVI,US Small Cap Value
UAN,US Small Cap Value
CYAN,US Small Cap Value
CYCC,US Small Cap Value
CELP,US Small Cap Value
DAKT,US Small Cap Value
DAN,US Small Cap Value
DRIO,US Small Cap Value
DAIO,US Small Cap Value
PLAY,US Small Cap Value
DWSN,US Small Cap Value
DCP,US Small Cap Value
DCTH,US Small Cap Value
DKL,US Small Cap Value
DK,US Small Cap Value
DBCP,US Small Cap Value
DLX,US Small Cap Value
DNR,US Small Cap Value
DBI,US Small Cap Value
DXLG,US Small Cap Value
DRH,US Small Cap Value
DFFN,US Small Cap Value
DRAD,US Small Cap Value
DGLY,US Small Cap Value
DDS,US Small Cap Value
DCOM,US Small Cap Value
DHC,US Small Cap Value
DSS,US Small Cap Value
DLPN,US Small Cap Value
UFS,US Small Cap Value
DGICA,US Small Cap Value
DFIN,US Small Cap Value
DVD,US Small Cap Value
DPW,US Small Cap Value
DRQ,US Small Cap Value
DS,US Small Cap Value
BKCT,US Small Cap Value
DUOT,US Small Cap Value
DYNT,US Small Cap Value
DX,US Small Cap Value
EGBN,US Small Cap Value
EXP,US Small Cap Value
KODK,US Small Cap Value
EBIX,US Small Cap Value
ECT,US Small Cap Value
SATS,US Small Cap Value
EPC,US Small Cap Value
EKSO,US Small Cap Value
ESI,US Small Cap Value
ELVT,US Small Cap Value
EARN,US Small Cap Value
ESBK,US Small Cap Value
EMAN,US Small Cap Value
EMCF,US Small Cap Value
EMKR,US Small Cap Value
EEX,US Small Cap Value
MSN,US Small Cap Value
ESRT,US Small Cap Value
ENBL,US Small Cap Value
ELGX,US Small Cap Value
EIGI,US Small Cap Value
ENR,US Small Cap Value
EFOI,US Small Cap Value
ENG,US Small Cap Value
ENLC,US Small Cap Value
EBF,US Small Cap Value
ENSV,US Small Cap Value
ETM,US Small Cap Value
EVC,US Small Cap Value
EVA,US Small Cap Value
ENZ,US Small Cap Value
EPR,US Small Cap Value
EQT,US Small Cap Value
EQC,US Small Cap Value
ESP,US Small Cap Value
ESSA,US Small Cap Value
EPRT,US Small Cap Value
ETH,US Small Cap Value
EVK,US Small Cap Value
EVRI,US Small Cap Value
EVFM,US Small Cap Value
EPM,US Small Cap Value
EVOL,US Small Cap Value
XAN,US Small Cap Value
EXPR,US Small Cap Value
STAY,US Small Cap Value
EXTN,US Small Cap Value
EZPW,US Small Cap Value
FNB,US Small Cap Value
FARM,US Small Cap Value
FBSS,US Small Cap Value
FFG,US Small Cap Value
AGM.A,US Small Cap Value
FNHC,US Small Cap Value
FOE,US Small Cap Value
FDUS,US Small Cap Value
FRGI,US Small Cap Value
FISI,US Small Cap Value
FBNC,US Small Cap Value
FNLC,US Small Cap Value
FRBA,US Small Cap Value
BUSE,US Small Cap Value
FBIZ,US Small Cap Value
FCF,US Small Cap Value
FCBC,US Small Cap Value
FFBC,US Small Cap Value
THFF,US Small Cap Value
FFNW,US Small Cap Value
FGBI,US Small Cap Value
FHB,US Small Cap Value
FHN,US Small Cap Value
INBK,US Small Cap Value
FIBK,US Small Cap Value
FXNC,US Small Cap Value
FLIC,US Small Cap Value
FUNC,US Small Cap Value
FUSB,US Small Cap Value
SVVC,US Small Cap Value
FIT,US Small Cap Value
FPRX,US Small Cap Value
FVE,US Small Cap Value
BDL,US Small Cap Value
FLXN,US Small Cap Value
FLXS,US Small Cap Value
FTK,US Small Cap Value
FLS,US Small Cap Value
FLR,US Small Cap Value
FFIC,US Small Cap Value
FOCS,US Small Cap Value
FET,US Small Cap Value
FOSL,US Small Cap Value
FBM,US Small Cap Value
FRAN,US Small Cap Value
FSB,US Small Cap Value
FRAF,US Small Cap Value
FSP,US Small Cap Value
RAIL,US Small Cap Value
FRD,US Small Cap Value
FSK,US Small Cap Value
FTEK,US Small Cap Value
FCEL,US Small Cap Value
FLL,US Small Cap Value
FULT,US Small Cap Value
FNKO,US Small Cap Value
FTFT,US Small Cap Value
FF,US Small Cap Value
GCAP,US Small Cap Value
GBL,US Small Cap Value
GME,US Small Cap Value
GCI,US Small Cap Value
GTX,US Small Cap Value
GARS,US Small Cap Value
JOB,US Small Cap Value
GMO,US Small Cap Value
GCO,US Small Cap Value
GEL,US Small Cap Value
GEN,US Small Cap Value
GNW,US Small Cap Value
GEVO,US Small Cap Value
GIII,US Small Cap Value
GLAD,US Small Cap Value
GOOD,US Small Cap Value
GAIN,US Small Cap Value
GLBZ,US Small Cap Value
ENT,US Small Cap Value
GLP,US Small Cap Value
GMS,US Small Cap Value
GNCIQ,US Small Cap Value
GSBD,US Small Cap Value
GBDC,US Small Cap Value
GTIM,US Small Cap Value
GT,US Small Cap Value
GHC,US Small Cap Value
GVA,US Small Cap Value
GFGY,US Small Cap Value
GPMT,US Small Cap Value
AJX,US Small Cap Value
GECC,US Small Cap Value
GLDD,US Small Cap Value
GWB,US Small Cap Value
GPRE,US Small Cap Value
GPP,US Small Cap Value
GBX,US Small Cap Value
GHL,US Small Cap Value
GEF,US Small Cap Value
GPI,US Small Cap Value
GRPN,US Small Cap Value
GVP,US Small Cap Value
GES,US Small Cap Value
GIFI,US Small Cap Value
GURE,US Small Cap Value
HRB,US Small Cap Value
HNRG,US Small Cap Value
HALL,US Small Cap Value
HBB,US Small Cap Value
HNGR,US Small Cap Value
HAFC,US Small Cap Value
HOG,US Small Cap Value
HRTH,US Small Cap Value
HBIO,US Small Cap Value
HCAP,US Small Cap Value
HVT,US Small Cap Value
HE,US Small Cap Value
HA,US Small Cap Value
HTLF,US Small Cap Value
HTBX,US Small Cap Value
HL,US Small Cap Value
HLX,US Small Cap Value
HP,US Small Cap Value
HNNA,US Small Cap Value
HEPA,US Small Cap Value
HTGC,US Small Cap Value
HTBK,US Small Cap Value
HRTG,US Small Cap Value
HLBYL,US Small Cap Value
HT,US Small Cap Value
HTZ,US Small Cap Value
HCRSQ,US Small Cap Value
HPR,US Small Cap Value
HIW,US Small Cap Value
HIL,US Small Cap Value
HI,US Small Cap Value
HTH,US Small Cap Value
HQI,US Small Cap Value
HMNF,US Small Cap Value
HEP,US Small Cap Value
HFBL,US Small Cap Value
HOFT,US Small Cap Value
HOPE,US Small Cap Value
HBNC,US Small Cap Value
HZN,US Small Cap Value
HRZN,US Small Cap Value
HMHC,US Small Cap Value
HWCC,US Small Cap Value
HOV,US Small Cap Value
HTGM,US Small Cap Value
HCFT,US Small Cap Value
HURC,US Small Cap Value
HBP,US Small Cap Value
ICCH,US Small Cap Value
ICON,US Small Cap Value
IDT,US Small Cap Value
IFMK,US Small Cap Value
IKNX,US Small Cap Value
IMBI,US Small Cap Value
ICCC,US Small Cap Value
IMUX,US Small Cap Value
IMH,US Small Cap Value
IOR,US Small Cap Value
ILPT,US Small Cap Value
IMKTA,US Small Cap Value
INOD,US Small Cap Value
IHT,US Small Cap Value
INPX,US Small Cap Value
ISIG,US Small Cap Value
INSE,US Small Cap Value
NSPR,US Small Cap Value
TILE,US Small Cap Value
IDXG,US Small Cap Value
IVAC,US Small Cap Value
ITCI,US Small Cap Value
IPI,US Small Cap Value
IVC,US Small Cap Value
IARE,US Small Cap Value
IVR,US Small Cap Value
ICMB,US Small Cap Value
ISBC,US Small Cap Value
IRET,US Small Cap Value
ITIC,US Small Cap Value
NVIV,US Small Cap Value
IO,US Small Cap Value
IRIX,US Small Cap Value
STAR,US Small Cap Value
ITP,US Small Cap Value
JAX,US Small Cap Value
JILL,US Small Cap Value
JAGX,US Small Cap Value
JAKK,US Small Cap Value
JAN,US Small Cap Value
JMP,US Small Cap Value
JW.A,US Small Cap Value
KNDI,US Small Cap Value
KAR,US Small Cap Value
KBH,US Small Cap Value
KFFB,US Small Cap Value
KEQU,US Small Cap Value
KTCC,US Small Cap Value
KRP,US Small Cap Value
KIN,US Small Cap Value
KINS,US Small Cap Value
KFS,US Small Cap Value
KIRK,US Small Cap Value
KRG,US Small Cap Value
KREF,US Small Cap Value
KNL,US Small Cap Value
KSS,US Small Cap Value
KOS,US Small Cap Value
KOSS,US Small Cap Value
KRO,US Small Cap Value
FSTR,US Small Cap Value
LADR,US Small Cap Value
LBAI,US Small Cap Value
LMRK,US Small Cap Value
LCI,US Small Cap Value
LPI,US Small Cap Value
LAUR,US Small Cap Value
LCNB,US Small Cap Value
LEE,US Small Cap Value
LC,US Small Cap Value
LEVL,US Small Cap Value
LBRT,US Small Cap Value
LTRPA,US Small Cap Value
LCUT,US Small Cap Value
LTBR,US Small Cap Value
LCTX,US Small Cap Value
LQDT,US Small Cap Value
LXU,US Small Cap Value
LTC,US Small Cap Value
LUB,US Small Cap Value
LL,US Small Cap Value
LUMO,US Small Cap Value
LDL,US Small Cap Value
MDC,US Small Cap Value
MAC,US Small Cap Value
CLI,US Small Cap Value
MFNC,US Small Cap Value
MIC,US Small Cap Value
M,US Small Cap Value
MGY,US Small Cap Value
MAIN,US Small Cap Value
TUSK,US Small Cap Value
LOAN,US Small Cap Value
MTW,US Small Cap Value
MTEX,US Small Cap Value
MARA,US Small Cap Value
MCS,US Small Cap Value
MRIN,US Small Cap Value
MARPS,US Small Cap Value
MRLN,US Small Cap Value
MMLP,US Small Cap Value
MTDR,US Small Cap Value
MATW,US Small Cap Value
MAXR,US Small Cap Value
MBI,US Small Cap Value
MCCX,US Small Cap Value
MCC,US Small Cap Value
MDLY,US Small Cap Value
MD,US Small Cap Value
MDP,US Small Cap Value
MRBK,US Small Cap Value
MACK,US Small Cap Value
MTR,US Small Cap Value
MSB,US Small Cap Value
MFA,US Small Cap Value
MPB,US Small Cap Value
MCEP,US Small Cap Value
MSBI,US Small Cap Value
MSVB,US Small Cap Value
MOFG,US Small Cap Value
MLND,US Small Cap Value
MTX,US Small Cap Value
NERV,US Small Cap Value
MGEN,US Small Cap Value
MG,US Small Cap Value
MIND,US Small Cap Value
MC,US Small Cap Value
MBRX,US Small Cap Value
MGI,US Small Cap Value
MRCC,US Small Cap Value
MR,US Small Cap Value
MOSY,US Small Cap Value
MOV,US Small Cap Value
MRC,US Small Cap Value
MSGN,US Small Cap Value
MTSC,US Small Cap Value
MUR,US Small Cap Value
MBIO,US Small Cap Value
MVO,US Small Cap Value
MVC,US Small Cap Value
MYSZ,US Small Cap Value
MYO,US Small Cap Value
MYGN,US Small Cap Value
NC,US Small Cap Value
NNVC,US Small Cap Value
NATH,US Small Cap Value
NCMI,US Small Cap Value
NFG,US Small Cap Value
NHI,US Small Cap Value
NHC,US Small Cap Value
NPK,US Small Cap Value
NSEC,US Small Cap Value
NWLI,US Small Cap Value
NAII,US Small Cap Value
NGS,US Small Cap Value
NHTC,US Small Cap Value
NRP,US Small Cap Value
NAVI,US Small Cap Value
NAV,US Small Cap Value
NCR,US Small Cap Value
NCSM,US Small Cap Value
NNI,US Small Cap Value
UEPS,US Small Cap Value
NETE,US Small Cap Value
NTGR,US Small Cap Value
NTCT,US Small Cap Value
NTWK,US Small Cap Value
NTIP,US Small Cap Value
NURO,US Small Cap Value
NJR,US Small Cap Value
NMFC,US Small Cap Value
NRZ,US Small Cap Value
SNR,US Small Cap Value
NYMT,US Small Cap Value
NMRK,US Small Cap Value
NR,US Small Cap Value
NEWT,US Small Cap Value
NEXT,US Small Cap Value
NXGN,US Small Cap Value
NEX,US Small Cap Value
NL,US Small Cap Value
NMIH,US Small Cap Value
NNBR,US Small Cap Value
NBLX,US Small Cap Value
NDLS,US Small Cap Value
JWN,US Small Cap Value
NSYS,US Small Cap Value
NRT,US Small Cap Value
NOG,US Small Cap Value
NFBK,US Small Cap Value
NRIM,US Small Cap Value
NWBI,US Small Cap Value
NWN,US Small Cap Value
NWE,US Small Cap Value
NWFL,US Small Cap Value
NVFY,US Small Cap Value
NBY,US Small Cap Value
NVUS,US Small Cap Value
DNOW,US Small Cap Value
NTN,US Small Cap Value
NUS,US Small Cap Value
NS,US Small Cap Value
NES,US Small Cap Value
NVEC,US Small Cap Value
NXTD,US Small Cap Value
OCSI,US Small Cap Value
OMP,US Small Cap Value
OBLN,US Small Cap Value
OBLG,US Small Cap Value
OPTT,US Small Cap Value
OCN,US Small Cap Value
OPI,US Small Cap Value
OFS,US Small Cap Value
OVBC,US Small Cap Value
OI,US Small Cap Value
OIS,US Small Cap Value
ONB,US Small Cap Value
OPOF,US Small Cap Value
OLN,US Small Cap Value
ZEUS,US Small Cap Value
ONTX,US Small Cap Value
ONCS,US Small Cap Value
ONCT,US Small Cap Value
OLP,US Small Cap Value
ONTO,US Small Cap Value
OPGN,US Small Cap Value
OPK,US Small Cap Value
OPY,US Small Cap Value
OCC,US Small Cap Value
OPHC,US Small Cap Value
OPCH,US Small Cap Value
OEG,US Small Cap Value
ORC,US Small Cap Value
ORN,US Small Cap Value
ORRF,US Small Cap Value
OTEL,US Small Cap Value
OTIC,US Small Cap Value
OTTR,US Small Cap Value
OUT,US Small Cap Value
OTLK,US Small Cap Value
OSG,US Small Cap Value
OSTK,US Small Cap Value
OMI,US Small Cap Value
OXM,US Small Cap Value
OXSQ,US Small Cap Value
PFIN,US Small Cap Value
GLT,US Small Cap Value
PEIX,US Small Cap Value
PACW,US Small Cap Value
PHX,US Small Cap Value
PZG,US Small Cap Value
PKE,US Small Cap Value
PK,US Small Cap Value
PRK,US Small Cap Value
PKOH,US Small Cap Value
PSN,US Small Cap Value
PRTY,US Small Cap Value
PBHC,US Small Cap Value
PNBK,US Small Cap Value
PATI,US Small Cap Value
PDCO,US Small Cap Value
PTEN,US Small Cap Value
PBF,US Small Cap Value
PBFX,US Small Cap Value
PCTI,US Small Cap Value
PDLI,US Small Cap Value
PDLB,US Small Cap Value
PDSB,US Small Cap Value
BTU,US Small Cap Value
PEB,US Small Cap Value
PED,US Small Cap Value
PVAC,US Small Cap Value
PNNT,US Small Cap Value
PFLT,US Small Cap Value
PWOD,US Small Cap Value
PEI,US Small Cap Value
PFSI,US Small Cap Value
PAG,US Small Cap Value
PEBK,US Small Cap Value
PRCP,US Small Cap Value
PFMT,US Small Cap Value
PPIH,US Small Cap Value
PBT,US Small Cap Value
PVL,US Small Cap Value
PRSP,US Small Cap Value
PSXP,US Small Cap Value
PHIO,US Small Cap Value
PICO,US Small Cap Value
PPSI,US Small Cap Value
PIPR,US Small Cap Value
PBI,US Small Cap Value
PAGP,US Small Cap Value
PLAG,US Small Cap Value
PLT,US Small Cap Value
PSTV,US Small Cap Value
PNM,US Small Cap Value
POR,US Small Cap Value
PTMN,US Small Cap Value
PBPB,US Small Cap Value
POWL,US Small Cap Value
PGEN,US Small Cap Value
PRPO,US Small Cap Value
APTS,US Small Cap Value
PLPC,US Small Cap Value
PFBI,US Small Cap Value
PINC,US Small Cap Value
PBH,US Small Cap Value
PRA,US Small Cap Value
IPDN,US Small Cap Value
PRGS,US Small Cap Value
PRPH,US Small Cap Value
PTVCA,US Small Cap Value
PROV,US Small Cap Value
PFS,US Small Cap Value
PBIP,US Small Cap Value
PMD,US Small Cap Value
TPNI,US Small Cap Value
PVH,US Small Cap Value
PZN,US Small Cap Value
QEP,US Small Cap Value
QUAD,US Small Cap Value
QMCO,US Small Cap Value
QRHC,US Small Cap Value
RRD,US Small Cap Value
RRC,US Small Cap Value
RAVE,US Small Cap Value
RYAM,US Small Cap Value
RYN,US Small Cap Value
RCMT,US Small Cap Value
RDI,US Small Cap Value
RC,US Small Cap Value
RLGY,US Small Cap Value
REPH,US Small Cap Value
RRGB,US Small Cap Value
REGX,US Small Cap Value
RWT,US Small Cap Value
RHE,US Small Cap Value
RGS,US Small Cap Value
RBNC,US Small Cap Value
RELV,US Small Cap Value
REGI,US Small Cap Value
REZI,US Small Cap Value
RFP,US Small Cap Value
ROIC,US Small Cap Value
RPAI,US Small Cap Value
REVG,US Small Cap Value
REV,US Small Cap Value
REXN,US Small Cap Value
RXN,US Small Cap Value
RBBN,US Small Cap Value
RIBT,US Small Cap Value
RELL,US Small Cap Value
RNET,US Small Cap Value
RAD,US Small Cap Value
RVSB,US Small Cap Value
RIVE,US Small Cap Value
RLJ,US Small Cap Value
RCKY,US Small Cap Value
RMCF,US Small Cap Value
ROSE,US Small Cap Value
RES,US Small Cap Value
RPT,US Small Cap Value
RTWIQ,US Small Cap Value
RBCN,US Small Cap Value
RUTH,US Small Cap Value
R,US Small Cap Value
RYI,US Small Cap Value
RHP,US Small Cap Value
STBA,US Small Cap Value
SANW,US Small Cap Value
SBR,US Small Cap Value
SBRA,US Small Cap Value
SABR,US Small Cap Value
SACH,US Small Cap Value
SAFT,US Small Cap Value
SGA,US Small Cap Value
SLRX,US Small Cap Value
SALM,US Small Cap Value
SBH,US Small Cap Value
SJT,US Small Cap Value
SNMP,US Small Cap Value
SD,US Small Cap Value
PER,US Small Cap Value
SASR,US Small Cap Value
SAR,US Small Cap Value
SVRA,US Small Cap Value
SBFG,US Small Cap Value
SCSC,US Small Cap Value
SMIT,US Small Cap Value
SCHL,US Small Cap Value
SWM,US Small Cap Value
SGMS,US Small Cap Value
SCU,US Small Cap Value
SEB,US Small Cap Value
SEAC,US Small Cap Value
SMHI,US Small Cap Value
SPNE,US Small Cap Value
EYES,US Small Cap Value
SNFCA,US Small Cap Value
SEEL,US Small Cap Value
SLS,US Small Cap Value
LEDS,US Small Cap Value
SNCA,US Small Cap Value
SENEA,US Small Cap Value
SNES,US Small Cap Value
SQBG,US Small Cap Value
SRG,US Small Cap Value
SVC,US Small Cap Value
SVT,US Small Cap Value
SESN,US Small Cap Value
SVBI,US Small Cap Value
SHLO,US Small Cap Value
TYHT,US Small Cap Value
SHBI,US Small Cap Value
SRRA,US Small Cap Value
SIF,US Small Cap Value
SIGA,US Small Cap Value
SGLB,US Small Cap Value
SGMA,US Small Cap Value
SLGN,US Small Cap Value
SAMG,US Small Cap Value
SBGI,US Small Cap Value
SINO,US Small Cap Value
SINT,US Small Cap Value
SITC,US Small Cap Value
SIX,US Small Cap Value
TSLX,US Small Cap Value
SKYW,US Small Cap Value
SLG,US Small Cap Value
SM,US Small Cap Value
SLRC,US Small Cap Value
SUNS,US Small Cap Value
SLNO,US Small Cap Value
XPL,US Small Cap Value
SNOA,US Small Cap Value
SRNE,US Small Cap Value
SOHO,US Small Cap Value
SFBC,US Small Cap Value
SWX,US Small Cap Value
SWN,US Small Cap Value
SGRP,US Small Cap Value
SPTN,US Small Cap Value
SPB,US Small Cap Value
SPPI,US Small Cap Value
SR,US Small Cap Value
SPR,US Small Cap Value
SPOK,US Small Cap Value
SRLP,US Small Cap Value
SBPH,US Small Cap Value
STAF,US Small Cap Value
STND,US Small Cap Value
STFC,US Small Cap Value
STCN,US Small Cap Value
SPLP,US Small Cap Value
SMRT,US Small Cap Value
SCM,US Small Cap Value
STXS,US Small Cap Value
STC,US Small Cap Value
SF,US Small Cap Value
STON,US Small Cap Value
SSKN,US Small Cap Value
STRT,US Small Cap Value
RGR,US Small Cap Value
SUMR,US Small Cap Value
INN,US Small Cap Value
SMLP,US Small Cap Value
SSBI,US Small Cap Value
SXC,US Small Cap Value
SNSS,US Small Cap Value
SSY,US Small Cap Value
SPWR,US Small Cap Value
SHO,US Small Cap Value
SUNW,US Small Cap Value
SPN,US Small Cap Value
SUP,US Small Cap Value
SPRT,US Small Cap Value
SYNC,US Small Cap Value
SYNL,US Small Cap Value
SNCR,US Small Cap Value
SYBX,US Small Cap Value
SNV,US Small Cap Value
SYPR,US Small Cap Value
TLRD,US Small Cap Value
TAIT,US Small Cap Value
TKAT,US Small Cap Value
TLF,US Small Cap Value
TPR,US Small Cap Value
TCP,US Small Cap Value
CGBD,US Small Cap Value
TISI,US Small Cap Value
TGNA,US Small Cap Value
TDS,US Small Cap Value
TENX,US Small Cap Value
THC,US Small Cap Value
TGC,US Small Cap Value
TEN,US Small Cap Value
TDC,US Small Cap Value
TEX,US Small Cap Value
TESS,US Small Cap Value
TTI,US Small Cap Value
TTPH,US Small Cap Value
BPRN,US Small Cap Value
CATO,US Small Cap Value
CC,US Small Cap Value
TCS,US Small Cap Value
DXYN,US Small Cap Value
SSP,US Small Cap Value
GEO,US Small Cap Value
THG,US Small Cap Value
SCX,US Small Cap Value
MIK,US Small Cap Value
NWHM,US Small Cap Value
ODP,US Small Cap Value
PECK,US Small Cap Value
TKR,US Small Cap Value
THMO,US Small Cap Value
TCRD,US Small Cap Value
TDW,US Small Cap Value
TLYS,US Small Cap Value
TMST,US Small Cap Value
TIPT,US Small Cap Value
TWI,US Small Cap Value
TTNP,US Small Cap Value
TNXP,US Small Cap Value
CLUB,US Small Cap Value
TSQ,US Small Cap Value
TRTX,US Small Cap Value
TCON,US Small Cap Value
TWMC,US Small Cap Value
TACT,US Small Cap Value
TRXC,US Small Cap Value
TA,US Small Cap Value
TG,US Small Cap Value
THS,US Small Cap Value
TPCO,US Small Cap Value
TRS,US Small Cap Value
TRT,US Small Cap Value
TPVG,US Small Cap Value
TGI,US Small Cap Value
TRST,US Small Cap Value
TRMK,US Small Cap Value
TSRI,US Small Cap Value
TUP,US Small Cap Value
TPC,US Small Cap Value
TWIN,US Small Cap Value
TWO,US Small Cap Value
PRTS,US Small Cap Value
USAU,US Small Cap Value
USWS,US Small Cap Value
UMH,US Small Cap Value
UMPQ,US Small Cap Value
UNAM,US Small Cap Value
UNB,US Small Cap Value
UFAB,US Small Cap Value
UBOH,US Small Cap Value
UBSI,US Small Cap Value
UFCS,US Small Cap Value
UIHC,US Small Cap Value
UNFI,US Small Cap Value
USM,US Small Cap Value
X,US Small Cap Value
UG,US Small Cap Value
UNIT,US Small Cap Value
UVV,US Small Cap Value
UVE,US Small Cap Value
UUU,US Small Cap Value
USAP,US Small Cap Value
UVSP,US Small Cap Value
UNM,US Small Cap Value
URBN,US Small Cap Value
UBP,US Small Cap Value
USEG,US Small Cap Value
GROW,US Small Cap Value
SLCA,US Small Cap Value
USNA,US Small Cap Value
USDP,US Small Cap Value
VHI,US Small Cap Value
VLY,US Small Cap Value
VVV,US Small Cap Value
VECO,US Small Cap Value
VERO,US Small Cap Value
VERS,US Small Cap Value
VRS,US Small Cap Value
VVI,US Small Cap Value
VBFC,US Small Cap Value
VLGEA,US Small Cap Value
VNCE,US Small Cap Value
VNOM,US Small Cap Value
VIRC,US Small Cap Value
VISL,US Small Cap Value
VSTO,US Small Cap Value
VIVE,US Small Cap Value
VVUSQ,US Small Cap Value
VOC,US Small Cap Value
VOLT,US Small Cap Value
VOXX,US Small Cap Value
WTI,US Small Cap Value
WNC,US Small Cap Value
WDR,US Small Cap Value
HCC,US Small Cap Value
WPG,US Small Cap Value
